iter	Passed	Remaining
0	172	172564
1	194	97225
2	219	72823
3	243	60686
4	266	53051
5	289	47919
6	311	44192
7	333	41309
8	354	39035
9	377	37325
10	399	35898
11	421	34725
12	442	33614
13	463	32624
14	483	31767
15	505	31066
16	527	30530
17	549	29975
18	570	29479
19	591	29001
20	612	28550
21	633	28146
22	652	27735
23	674	27439
24	695	27119
25	717	26885
26	738	26630
27	760	26406
28	781	26159
29	801	25921
30	822	25710
31	843	25523
32	865	25348
33	886	25185
34	907	25012
35	928	24866
36	950	24732
37	970	24571
38	989	24386
39	1010	24247
40	1031	24131
41	1053	24036
42	1074	23919
43	1095	23797
44	1115	23681
45	1137	23586
46	1157	23473
47	1178	23368
48	1198	23266
49	1219	23164
50	1240	23091
51	1261	23001
52	1281	22905
53	1302	22821
54	1323	22742
55	1345	22677
56	1365	22596
57	1386	22525
58	1408	22456
59	1428	22376
60	1448	22303
61	1465	22171
62	1485	22100
63	1504	22001
64	1522	21894
65	1540	21807
66	1561	21741
67	1581	21671
68	1601	21612
69	1621	21543
70	1640	21468
71	1661	21418
72	1681	21356
73	1702	21304
74	1724	21265
75	1743	21203
76	1764	21150
77	1786	21121
78	1807	21073
79	1829	21043
80	1850	20992
81	1870	20935
82	1891	20898
83	1912	20854
84	1933	20812
85	1954	20767
86	1974	20722
87	1995	20675
88	2016	20641
89	2037	20605
90	2058	20558
91	2078	20517
92	2100	20485
93	2121	20444
94	2141	20397
95	2163	20373
96	2184	20337
97	2205	20296
98	2225	20255
99	2246	20219
100	2267	20184
101	2291	20172
102	2313	20144
103	2333	20106
104	2354	20069
105	2375	20032
106	2396	19997
107	2417	19964
108	2438	19931
109	2458	19889
110	2478	19850
111	2499	19817
112	2520	19787
113	2541	19750
114	2560	19704
115	2570	19589
116	2591	19557
117	2611	19517
118	2630	19476
119	2651	19441
120	2671	19410
121	2692	19374
122	2713	19348
123	2734	19319
124	2744	19214
125	2764	19173
126	2783	19136
127	2804	19104
128	2825	19078
129	2846	19048
130	2867	19019
131	2888	18995
132	2908	18962
133	2928	18926
134	2947	18883
135	2967	18850
136	2977	18755
137	2997	18720
138	3016	18685
139	3026	18593
140	3037	18503
141	3056	18467
142	3077	18441
143	3097	18410
144	3117	18379
145	3128	18298
146	3149	18277
147	3171	18258
148	3192	18233
149	3202	18147
150	3214	18073
151	3231	18025
152	3257	18030
153	3277	18003
154	3297	17979
155	3307	17895
156	3318	17820
157	3338	17792
158	3347	17706
159	3357	17629
160	3376	17597
161	3396	17568
162	3405	17485
163	3422	17445
164	3440	17413
165	3451	17338
166	3461	17267
167	3481	17240
168	3500	17211
169	3510	17141
170	3520	17068
171	3537	17028
172	3546	16951
173	3556	16881
174	3564	16805
175	3582	16773
176	3593	16709
177	3613	16687
178	3627	16637
179	3637	16571
180	3656	16545
181	3677	16528
